"Galaxy J7 Max"
-72.0
-72.0
-72.0
-72.1
-72.2
-72.2
-72.0
-71.9
-73.4
-74.5
-75.0
-75.0
-74.8
-74.1
-73.5
-74.3
-74.1
-74.6
-73.9
-73.5
-73.8
-73.9
-73.9
-73.4
-71.8
-71.5
-71.7
-72.4
-71.9
-71.5
-71.6
-72.5
-72.6
-72.6
-72.6
-71.6
-68.3
-65.0
-63.9
-64.0
-64.0
-65.4
-65.4
-68.5
-70.0
-69.5
-68.8
-67.3
-66.3
-66.4
-66.8
-69.7
-69.9
-70.4
-69.8
-68.7
-68.4
-68.0
-68.1
-68.0
-67.9
-68.0
-68.0
-68.1
-68.2
-67.7
-64.3
-60.4
-59.3
-58.4
-58.3
-58.3
-58.3
-58.3
-58.7
-59.9
-63.8
-67.2
-67.0
-66.0
