"Galaxy J7 Max"
-79.9
-79.8
-80.1
-80.3
-79.9
-79.9
-79.5
-79.0
-75.1
-71.1
-69.9
-70.0
-70.0
-70.2
-70.1
-69.9
-69.8
-70.4
-72.7
-75.2
-75.7
-75.8
-75.9
-75.7
-76.4
-77.2
-78.3
-78.3
-78.7
-80.0
-80.0
-80.4
-80.3
-80.5
-80.9
-81.3
-81.5
-79.7
-77.2
-76.1
-77.8
-77.8
-77.5
-77.4
-77.7
-77.8
-77.2
-76.9
-77.5
-77.4
-77.7
-77.7
-77.8
-78.3
-78.6
-78.6
-79.0
-79.7
-80.5
-80.5
-80.5
-80.6
-80.5
-80.6
-81.0
-81.3
-80.8
-80.5
-78.0
-75.6
-75.2
-76.1
-76.2
-76.4
-76.8
-77.0
-76.8
-76.2
-77.0
-78.9
-78.7
-78.5
-78.2
-78.0
-78.2
-79.6
-82.111115
-84.2
-85.5
